Year,State,Scheme,Spillover,Non-Recurring - Fresh,Recurring - Fresh,Total Fresh,Grand Total - Including Spillover and Reimbursement
2022-23,Bihar,Elementary Education,,55146.22,678077.36,733223.58,733223.58
2022-23,Chandigarh,Total,,409.1,11739.21,12148.31,12148.31
2022-23,Chandigarh,Teacher Education,,0.0,30.61,30.61,30.61
2022-23,Chandigarh,Secondary Education,,131.7,959.22,1090.92,1090.92
2022-23,Chandigarh,Elementary Education,,277.4,10749.39,11026.79,11026.79
2022-23,Chhattisgarh,Secondary Education,,3486.32,29697.44,33183.76,33183.76
2022-23,Chhattisgarh,Teacher Education,,0.0,2349.06,2349.06,2349.06
2022-23,Chhattisgarh,Total,,21504.91,125982.63,147487.54,147487.54
2022-23,Chhattisgarh,Elementary Education,,18018.59,93936.13,111954.72,111954.72
2022-23,Daman and Diu and Dadra and Nagar Haveli,Elementary Education,,607.48,5427.58,6035.05,6035.05
2022-23,Daman and Diu and Dadra and Nagar Haveli,Secondary Education,,143.98,900.56,1044.54,1044.54
2022-23,Daman and Diu and Dadra and Nagar Haveli,Teacher Education,,0.0,110.4,110.4,110.4
2022-23,Daman and Diu and Dadra and Nagar Haveli,Total,,751.46,6438.53,7189.99,7189.99
2022-23,Delhi,Secondary Education,,587.36,9115.5,9702.86,9702.86
2022-23,Delhi,Teacher Education,,50.0,1562.57,1612.57,1612.57
2022-23,Delhi,Elementary Education,,2954.72,42158.23,45112.95,45112.95
2022-23,Delhi,Total,,3592.08,52836.3,56428.38,56428.38
2022-23,Goa,Total,,619.99,4308.51,4928.5,4928.5
2022-23,Goa,Teacher Education,,0.0,344.97,344.97,344.97
2022-23,Goa,Secondary Education,,94.91,1477.81,1572.72,1572.72
2022-23,Goa,Elementary Education,,525.08,2485.73,3010.81,3010.81
2022-23,Gujarat,Elementary Education,,10548.1,177013.79,187561.89,187561.89
2022-23,Gujarat,Secondary Education,,3163.11,19488.41,22651.52,22651.52
2022-23,Gujarat,Teacher Education,,1695.0,3428.63,5123.63,5123.63
2022-23,Gujarat,Total,,15406.22,199930.83,215337.04,215337.04
2022-23,Haryana,Total,,22414.87,107087.07,129501.94,129501.94
2022-23,Haryana,Elementary Education,,10246.17,62720.94,72967.11,72967.11
2022-23,Haryana,Secondary Education,,12168.7,41172.32,53341.02,53341.02
2022-23,Haryana,Teacher Education,,0.0,3193.81,3193.81,3193.81
2022-23,Himachal Pradesh,Secondary Education,,5547.9,18421.95,23969.85,23969.85
2022-23,Himachal Pradesh,Elementary Education,,5550.98,37056.53,42607.51,42607.51
2022-23,Himachal Pradesh,Total,,11195.43,57325.88,68521.31,68521.31
2022-23,Himachal Pradesh,Teacher Education,,96.55,1847.4,1943.95,1943.95
2022-23,Jammu and Kashmir,Secondary Education,,13852.0,19758.92,33610.92,33610.92
2022-23,Jammu and Kashmir,Elementary Education,,18204.68,97937.83,116142.51,116142.51
2022-23,Jammu and Kashmir,Total,,33910.49,119153.64,153064.13,153064.13
2022-23,Jammu and Kashmir,Teacher Education,,1853.81,1456.88,3310.69,3310.69
2022-23,Jharkhand,Teacher Education,,0.0,614.38,614.38,614.38
2022-23,Jharkhand,Total,,13412.09,205131.84,218543.93,218543.93
2022-23,Jharkhand,Secondary Education,,4789.88,16564.09,21353.97,21353.97
2022-23,Jharkhand,Elementary Education,,8622.21,187953.37,196575.58,196575.58
2022-23,Karnataka,Teacher Education,,0.0,4787.32,4787.32,4787.32
2022-23,Karnataka,Total,,22583.32,157250.29,179833.61,179833.61
2022-23,Karnataka,Secondary Education,,3125.12,15403.26,18528.38,18528.38
2022-23,Karnataka,Elementary Education,,19458.2,137059.71,156517.91,156517.91
2022-23,Kerala,Elementary Education,,3735.38,47359.83,51095.21,51095.21
2022-23,Kerala,Teacher Education,,90.0,1891.41,1981.41,1981.41
2022-23,Kerala,Secondary Education,,1154.8,13172.01,14326.81,14326.81
2022-23,Kerala,Total,,4980.18,62423.25,67403.43,67403.43
2022-23,Ladakh,Elementary Education,,3130.85,2651.0,5781.85,5781.85
2022-23,Ladakh,Total,,3718.95,5073.35,8792.3,8792.3
2022-23,Ladakh,Secondary Education,,588.1,2294.55,2882.65,2882.65
2022-23,Ladakh,Teacher Education,,0.0,127.8,127.8,127.8
2022-23,Lakshadweep,Teacher Education,,0.0,39.4,39.4,39.4
2022-23,Lakshadweep,Total,,196.2,555.26,751.46,751.46
2022-23,Lakshadweep,Secondary Education,,0.0,99.22,99.22,99.22
2022-23,Lakshadweep,Elementary Education,,196.2,416.64,612.84,612.84
