Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2018-19,Uttar Pradesh,Access & Retention,10655.51,1.07,7208.0,0.79
2018-19,Uttar Pradesh,RTE Entitlements,156485.34,15.69,145898.62,15.98
2018-19,Uttar Pradesh,Quality Interventions,146476.97,14.69,127582.79,13.97
2018-19,Uttar Pradesh,Sports & Physical Education,10755.95,1.08,10755.95,1.18
2018-19,Uttar Pradesh,Teacher Education,30247.76,3.03,19393.45,2.12
2018-19,Uttar Pradesh,Program Management,19189.88,1.92,43485.74,4.76
2018-19,Uttar Pradesh,Gender & Equity,126305.87,12.66,73348.82,8.03
2018-19,Uttar Pradesh,Inclusive Education,6191.68,0.62,6085.55,0.67
2018-19,Uttar Pradesh,Vocational Education,2260.0,0.23,1202.0,0.13
2018-19,Uttar Pradesh,Monitoring of the Scheme,906.99,0.09,906.99,0.1
2018-19,Uttar Pradesh,Total of all Major Components,997382.47,100.0,913200.53,100.0
2018-19,Uttar Pradesh,Financial Support for Teachers,487906.52,48.92,477332.63,52.27
2018-19,Uttarakhand,Monitoring of the Scheme,47.65,0.05,47.65,0.06
2018-19,Uttarakhand,Vocational Education,1542.62,1.62,1194.75,1.44
2018-19,Uttarakhand,Inclusive Education,401.0,0.42,358.42,0.43
2018-19,Uttarakhand,Gender & Equity,1750.41,1.84,1742.53,2.1
2018-19,Uttarakhand,Teacher Education,12659.13,13.27,8130.67,9.79
2018-19,Uttarakhand,Program Management,0.0,0.0,3956.46,4.76
2018-19,Uttarakhand,Sports & Physical Education,1452.9,1.52,1451.65,1.75
2018-19,Uttarakhand,Quality Interventions,34579.04,36.25,25626.07,30.84
2018-19,Uttarakhand,RTE Entitlements,11290.63,11.84,10976.66,13.21
2018-19,Uttarakhand,Financial Support for Teachers,23492.4,24.63,22879.52,27.54
2018-19,Uttarakhand,Total of all Major Components,95385.92,100.0,83085.66,100.0
2018-19,Uttarakhand,Access & Retention,8170.14,8.57,6721.28,8.09
2018-19,West Bengal,RTE Entitlements,76092.64,15.19,70522.38,19.2
2018-19,West Bengal,Sports & Physical Education,6838.47,1.37,3340.98,0.91
2018-19,West Bengal,Teacher Education,3912.72,0.78,2230.18,0.61
2018-19,West Bengal,Financial Support for Teachers,255921.03,51.1,208290.63,56.7
2018-19,West Bengal,Gender & Equity,4392.53,0.88,4059.49,1.1
2018-19,West Bengal,Inclusive Education,6787.08,1.36,5039.75,1.37
2018-19,West Bengal,Vocational Education,15574.04,3.11,8436.97,2.3
2018-19,West Bengal,Monitoring of the Scheme,352.48,0.07,322.89,0.09
2018-19,West Bengal,Program Management,60035.17,11.99,17494.38,4.76
2018-19,West Bengal,Total of all Major Components,500803.89,100.0,367381.99,100.0
2018-19,West Bengal,Access & Retention,1605.53,0.32,1216.99,0.33
2018-19,West Bengal,Quality Interventions,69292.21,13.84,46427.35,12.64
2019-20,Andaman and Nicobar Islands,Financial Support for Teachers,1343.43,24.28,1343.44,32.88
2019-20,Andaman and Nicobar Islands,Total of all Major Components,5533.57,100.0,4086.11,100.0
2019-20,Andaman and Nicobar Islands,Program Management,209.78,3.79,193.34,4.73
2019-20,Andaman and Nicobar Islands,Vocational Education,616.6,11.14,470.78,11.52
2019-20,Andaman and Nicobar Islands,Inclusive Education,88.03,1.59,61.84,1.51
2019-20,Andaman and Nicobar Islands,Teacher Education,59.8,1.08,59.8,1.46
2019-20,Andaman and Nicobar Islands,Quality Interventions,3007.3,54.35,1841.96,45.08
2019-20,Andaman and Nicobar Islands,RTE Entitlements,108.44,1.96,14.76,0.36
2019-20,Andaman and Nicobar Islands,Sports & Physical Education,37.05,0.67,37.05,0.91
2019-20,Andaman and Nicobar Islands,Gender & Equity,63.14,1.14,63.14,1.55
2019-20,Andhra Pradesh,Access & Retention,75780.04,18.95,14149.88,5.55
2019-20,Andhra Pradesh,RTE Entitlements,34133.35,8.54,34227.31,13.43
2019-20,Andhra Pradesh,Quality Interventions,107844.47,26.97,80281.61,31.5
2019-20,Andhra Pradesh,Sports & Physical Education,2766.05,0.69,1632.65,0.64
2019-20,Andhra Pradesh,Teacher Education,2265.95,0.57,1584.07,0.62
2019-20,Andhra Pradesh,Financial Support for Teachers,73259.48,18.32,50130.96,19.67
2019-20,Andhra Pradesh,Gender & Equity,67565.72,16.9,48910.3,19.19
2019-20,Andhra Pradesh,Vocational Education,7182.51,1.8,5669.4,2.22
2019-20,Andhra Pradesh,Program Management,20196.35,5.05,12136.87,4.76
2019-20,Andhra Pradesh,Total of all Major Components,399842.4,100.0,254874.35,100.0
2019-20,Andhra Pradesh,Inclusive Education,7548.48,1.89,5997.48,2.35
2019-20,Andhra Pradesh,Monitoring of the Scheme,1300.0,0.33,153.82,0.06
2019-20,Arunachal Pradesh,Gender & Equity,4224.74,9.25,4099.08,10.0
2019-20,Arunachal Pradesh,Program Management,2933.9,6.42,2450.62,5.98
2019-20,Arunachal Pradesh,Total of all Major Components,45674.48,100.0,41002.17,100.0
2019-20,Arunachal Pradesh,Teacher Education,2059.52,4.51,1261.85,3.08
2019-20,Arunachal Pradesh,Monitoring of the Scheme,7.09,0.02,7.09,0.02
2019-20,Arunachal Pradesh,Vocational Education,1295.56,2.84,1060.73,2.59
2019-20,Arunachal Pradesh,Inclusive Education,132.92,0.29,120.68,0.29
2019-20,Arunachal Pradesh,Financial Support for Teachers,15408.0,33.73,15408.0,37.58
2019-20,Arunachal Pradesh,Access & Retention,8819.06,19.31,7321.92,17.86
2019-20,Arunachal Pradesh,Sports & Physical Education,259.95,0.57,259.95,0.63
2019-20,Arunachal Pradesh,Quality Interventions,8611.42,18.85,7101.33,17.32
2019-20,Arunachal Pradesh,RTE Entitlements,1922.33,4.21,1910.9,4.66
2019-20,Assam,RTE Entitlements,45055.85,16.91,45115.92,21.71
2019-20,Assam,Quality Interventions,61713.4,23.16,54011.85,25.99
2019-20,Assam,Sports & Physical Education,3704.9,1.39,3704.9,1.78
2019-20,Assam,Teacher Education,8319.89,3.12,5402.67,2.6
2019-20,Assam,Financial Support for Teachers,77182.2,28.97,56006.76,26.95
2019-20,Assam,Program Management,12372.29,4.64,9896.9,4.76
2019-20,Assam,Gender & Equity,9953.31,3.74,8446.1,4.06
2019-20,Assam,Inclusive Education,3178.02,1.19,2952.19,1.42
2019-20,Assam,Access & Retention,40041.72,15.03,19035.32,9.16
2019-20,Assam,Total of all Major Components,266427.12,100.0,207834.88,100.0
2019-20,Assam,Vocational Education,4790.76,1.8,3127.37,1.5
2019-20,Assam,Monitoring of the Scheme,114.77,0.04,134.9,0.06
2019-20,Bihar,Vocational Education,889.2,0.05,176.7,0.02
2019-20,Bihar,Monitoring of the Scheme,503.65,0.03,503.65,0.07
2019-20,Bihar,Program Management,35839.87,2.19,34886.98,4.76
2019-20,Bihar,Total of all Major Components,1633319.95,100.0,732626.54,100.0
2019-20,Bihar,Financial Support for Teachers,1058817.6,64.83,363528.0,49.62
2019-20,Bihar,Teacher Education,1535.0,0.09,1436.0,0.2
2019-20,Bihar,Sports & Physical Education,6089.8,0.37,6089.8,0.83
2019-20,Bihar,Quality Interventions,94086.03,5.76,88234.72,12.04
2019-20,Bihar,RTE Entitlements,158003.58,9.67,157778.86,21.54
2019-20,Bihar,Access & Retention,239032.77,14.63,41826.54,5.71
2019-20,Bihar,Gender & Equity,31867.2,1.95,31627.33,4.32
2019-20,Bihar,Inclusive Education,6655.26,0.41,6537.96,0.89
2019-20,Chandigarh,Sports & Physical Education,39.4,0.4,39.4,0.41
2019-20,Chandigarh,Monitoring of the Scheme,4.94,0.05,4.94,0.05
2019-20,Chandigarh,RTE Entitlements,817.75,8.27,817.75,8.47
2019-20,Chandigarh,Quality Interventions,1412.42,14.28,1325.64,13.73
2019-20,Chandigarh,Teacher Education,33.05,0.33,33.05,0.34
2019-20,Chandigarh,Financial Support for Teachers,6600.6,66.72,6600.6,68.37
2019-20,Chandigarh,Inclusive Education,253.04,2.56,247.97,2.57
2019-20,Chandigarh,Vocational Education,98.71,1.0,86.29,0.89
2019-20,Chandigarh,Program Management,585.15,5.91,460.0,4.76
2019-20,Chandigarh,Total of all Major Components,9892.67,100.0,9654.89,100.0
2019-20,Chandigarh,Gender & Equity,47.61,0.48,39.24,0.41
2019-20,Chhattisgarh,Monitoring of the Scheme,41.27,0.02,115.63,0.06
2019-20,Chhattisgarh,Inclusive Education,2763.94,1.18,2257.24,1.24
2019-20,Chhattisgarh,Vocational Education,8693.86,3.71,8122.6,4.46
2019-20,Chhattisgarh,Sports & Physical Education,3987.3,1.7,3987.3,2.19
2019-20,Chhattisgarh,Total of all Major Components,234536.62,100.0,182031.23,100.0
2019-20,Chhattisgarh,Gender & Equity,7873.14,3.36,7612.83,4.18
2019-20,Chhattisgarh,Program Management,10457.99,4.46,8668.15,4.76
2019-20,Chhattisgarh,Financial Support for Teachers,39216.0,16.72,38220.6,21.0
2019-20,Chhattisgarh,Access & Retention,48347.27,20.61,22150.81,12.17
2019-20,Chhattisgarh,Quality Interventions,66703.41,28.44,58447.0,32.11
2019-20,Chhattisgarh,RTE Entitlements,42163.84,17.98,30098.62,16.53
2019-20,Chhattisgarh,Teacher Education,4288.6,1.83,2350.44,1.29
2019-20,DND DNH,Quality Interventions,285.73,17.19,280.16,19.01
2019-20,DND DNH,Access & Retention,670.34,40.32,502.75,34.12
2019-20,DND DNH,RTE Entitlements,117.84,7.09,115.3,7.82
2019-20,DND DNH,Sports & Physical Education,6.0,0.36,11.75,0.8
2019-20,DND DNH,Program Management,95.39,5.74,80.0,5.43
2019-20,DND DNH,Total of all Major Components,1662.44,100.0,1473.67,100.0
2019-20,DND DNH,Vocational Education,26.25,1.58,26.25,1.78
2019-20,DND DNH,Gender & Equity,11.8,0.71,11.53,0.78
2019-20,DND DNH,Monitoring of the Scheme,0.0,0.0,0.78,0.05
2019-20,DND DNH,Financial Support for Teachers,420.06,25.27,420.06,28.5
2019-20,DND DNH,Inclusive Education,29.02,1.75,25.1,1.7
2019-20,Dadra and Nagar Haveli,Quality Interventions,956.23,17.85,674.03,14.39
2019-20,Dadra and Nagar Haveli,Financial Support for Teachers,3361.8,62.74,3361.78,71.8
2019-20,Dadra and Nagar Haveli,Gender & Equity,114.5,2.14,112.66,2.41
2019-20,Dadra and Nagar Haveli,Inclusive Education,68.66,1.28,42.72,0.91
2019-20,Dadra and Nagar Haveli,Access & Retention,589.42,11.0,203.78,4.35
2019-20,Dadra and Nagar Haveli,Vocational Education,31.0,0.58,26.2,0.56
2019-20,Dadra and Nagar Haveli,Monitoring of the Scheme,0.6,0.01,0.6,0.01
2019-20,Dadra and Nagar Haveli,Program Management,188.99,3.53,219.7,4.69
2019-20,Dadra and Nagar Haveli,Total of all Major Components,5357.89,100.0,4682.4,100.0
2019-20,Dadra and Nagar Haveli,RTE Entitlements,15.18,0.28,15.18,0.32
2019-20,Dadra and Nagar Haveli,Sports & Physical Education,31.5,0.59,25.75,0.55
2019-20,Delhi,Gender & Equity,3218.94,0.96,1009.98,1.71
2019-20,Delhi,Program Management,11023.77,3.3,2811.05,4.76
2019-20,Delhi,Total of all Major Components,333853.77,100.0,59031.96,100.0
2019-20,Delhi,Monitoring of the Scheme,87.86,0.03,83.0,0.14
2019-20,Delhi,Quality Interventions,26723.58,8.0,16991.01,28.78
2019-20,Delhi,Teacher Education,4800.5,1.44,2215.95,3.75
2019-20,Delhi,Sports & Physical Education,353.29,0.11,353.29,0.6
2019-20,Delhi,Access & Retention,248084.78,74.31,3128.25,5.3
2019-20,Delhi,RTE Entitlements,24475.85,7.33,19223.77,32.57
2019-20,Delhi,Vocational Education,1140.03,0.34,562.3,0.95
2019-20,Delhi,Financial Support for Teachers,9927.0,2.97,8940.6,15.15
2019-20,Delhi,Inclusive Education,4018.16,1.2,3712.76,6.29
2019-20,Goa,Gender & Equity,89.58,1.01,70.22,1.23
2019-20,Goa,RTE Entitlements,607.7,6.85,608.25,10.68
2019-20,Goa,Inclusive Education,144.56,1.63,117.98,2.07
2019-20,Goa,Vocational Education,2840.11,31.99,1397.68,24.55
2019-20,Goa,Monitoring of the Scheme,5.69,0.06,5.69,0.1
2019-20,Goa,Program Management,450.0,5.07,271.11,4.76
2019-20,Goa,Total of all Major Components,8876.85,100.0,5693.39,100.0
2019-20,Goa,Teacher Education,541.47,6.1,406.12,7.13
2019-20,Goa,Sports & Physical Education,39.8,0.45,61.05,1.07
2019-20,Goa,Quality Interventions,2449.83,27.6,1814.92,31.88
2019-20,Goa,Financial Support for Teachers,670.03,7.55,385.2,6.77
2019-20,Goa,Access & Retention,1038.08,11.69,555.18,9.75
2019-20,Gujarat,Total of all Major Components,375010.87,100.0,297333.93,100.0
2019-20,Gujarat,Program Management,19724.08,5.26,14158.76,4.76
2019-20,Gujarat,Vocational Education,7113.15,1.9,1014.99,0.34
2019-20,Gujarat,Monitoring of the Scheme,229.98,0.06,233.33,0.08
2019-20,Gujarat,Access & Retention,50415.11,13.44,24362.52,8.19
2019-20,Gujarat,RTE Entitlements,40226.58,10.73,26918.65,9.05
2019-20,Gujarat,Quality Interventions,104652.74,27.91,81462.42,27.4
2019-20,Gujarat,Sports & Physical Education,3217.15,0.86,3216.85,1.08
2019-20,Gujarat,Inclusive Education,8635.52,2.3,8549.36,2.88
2019-20,Gujarat,Gender & Equity,9869.66,2.63,9319.21,3.13
2019-20,Gujarat,Financial Support for Teachers,123903.0,33.04,123903.0,41.67
2019-20,Gujarat,Teacher Education,7023.9,1.87,4194.84,1.41
2019-20,Haryana,Program Management,5940.08,3.63,6189.41,4.76
2019-20,Haryana,Financial Support for Teachers,43498.86,26.58,40249.08,30.97
2019-20,Haryana,Teacher Education,6721.53,4.11,4202.46,3.23
2019-20,Haryana,Sports & Physical Education,1493.15,0.91,1492.75,1.15
2019-20,Haryana,Gender & Equity,5313.11,3.25,5114.63,3.94
2019-20,Haryana,Access & Retention,24870.47,15.2,8842.95,6.8
2019-20,Haryana,Monitoring of the Scheme,110.1,0.07,110.1,0.08
2019-20,Haryana,Vocational Education,24525.42,14.99,17715.96,13.63
2019-20,Haryana,Quality Interventions,36688.94,22.42,31816.78,24.48
2019-20,Haryana,Inclusive Education,1791.18,1.09,1600.08,1.23
2019-20,Haryana,RTE Entitlements,12671.48,7.74,12643.48,9.73
2019-20,Haryana,Total of all Major Components,163624.32,100.0,129977.68,100.0
2019-20,Himachal Pradesh,Program Management,5200.0,5.68,3279.85,4.76
2019-20,Himachal Pradesh,Total of all Major Components,91617.6,100.0,68876.93,100.0
2019-20,Himachal Pradesh,Quality Interventions,42597.08,46.49,29263.66,42.49
2019-20,Himachal Pradesh,Monitoring of the Scheme,27.82,0.03,27.82,0.04
2019-20,Himachal Pradesh,RTE Entitlements,4673.1,5.1,4673.1,6.78
2019-20,Himachal Pradesh,Access & Retention,2067.78,2.26,992.98,1.44
2019-20,Himachal Pradesh,Teacher Education,3620.75,3.95,2392.94,3.47
2019-20,Himachal Pradesh,Financial Support for Teachers,14765.4,16.12,14765.4,21.44
2019-20,Himachal Pradesh,Gender & Equity,948.76,1.04,935.74,1.36
2019-20,Himachal Pradesh,Inclusive Education,421.88,0.46,396.14,0.58
2019-20,Himachal Pradesh,Vocational Education,15875.33,17.33,10729.6,15.58
2019-20,Himachal Pradesh,Sports & Physical Education,1419.7,1.55,1419.7,2.06
2019-20,Jammu and Kashmir,Monitoring of the Scheme,29.72,0.01,46.29,0.02
2019-20,Jammu and Kashmir,Total of all Major Components,436237.49,100.0,218118.48,100.0
2019-20,Jammu and Kashmir,Access & Retention,171251.52,39.26,49932.75,22.89
2019-20,Jammu and Kashmir,RTE Entitlements,10994.47,2.52,10583.47,4.85
2019-20,Jammu and Kashmir,Program Management,6300.0,1.44,10386.59,4.76
2019-20,Jammu and Kashmir,Teacher Education,5556.0,1.27,3445.3,1.58
2019-20,Jammu and Kashmir,Financial Support for Teachers,106893.52,24.5,90119.71,41.32
2019-20,Jammu and Kashmir,Gender & Equity,9635.59,2.21,9027.84,4.14
2019-20,Jammu and Kashmir,Inclusive Education,1447.57,0.33,1158.14,0.53
2019-20,Jammu and Kashmir,Vocational Education,15665.24,3.59,6668.94,3.06
2019-20,Jammu and Kashmir,Sports & Physical Education,2136.85,0.49,2064.7,0.95
2019-20,Jammu and Kashmir,Quality Interventions,106327.02,24.37,34684.75,15.9
2019-20,Jharkhand,Financial Support for Teachers,113375.4,44.7,94636.8,43.75
2019-20,Jharkhand,Teacher Education,971.0,0.38,865.6,0.4
2019-20,Jharkhand,Quality Interventions,52150.44,20.56,44971.71,20.79
2019-20,Jharkhand,RTE Entitlements,35526.2,14.01,35750.11,16.53
2019-20,Jharkhand,Access & Retention,9009.7,3.55,3478.34,1.61
2019-20,Jharkhand,Sports & Physical Education,1544.2,0.61,1544.2,0.71
2019-20,Jharkhand,Inclusive Education,847.43,0.33,832.83,0.39
2019-20,Jharkhand,Gender & Equity,23753.53,9.37,20338.81,9.4
2019-20,Jharkhand,Total of all Major Components,253626.73,100.0,216312.4,100.0
2019-20,Jharkhand,Vocational Education,5594.84,2.21,3438.69,1.59
2019-20,Jharkhand,Monitoring of the Scheme,707.69,0.28,154.72,0.07
2019-20,Jharkhand,Program Management,10146.3,4.0,10300.59,4.76
2019-20,Karnataka,Total of all Major Components,205555.7,100.0,178322.29,100.0
2019-20,Karnataka,Program Management,12063.28,5.87,8491.54,4.76
2019-20,Karnataka,Monitoring of the Scheme,1344.3,0.65,654.11,0.37
2019-20,Karnataka,Vocational Education,2129.72,1.04,1693.32,0.95
2019-20,Karnataka,Gender & Equity,6444.31,3.14,6425.09,3.6
2019-20,Karnataka,Financial Support for Teachers,47020.2,22.87,32806.2,18.4
2019-20,Karnataka,Teacher Education,8850.51,4.31,3792.58,2.13
2019-20,Karnataka,Sports & Physical Education,6167.93,3.0,3339.55,1.87
2019-20,Karnataka,Quality Interventions,100930.6,49.1,86056.04,48.26
2019-20,Karnataka,RTE Entitlements,14998.19,7.3,29530.0,16.56
2019-20,Karnataka,Access & Retention,702.49,0.34,700.49,0.39
2019-20,Karnataka,Inclusive Education,4904.17,2.39,4833.37,2.71
2019-20,Kerala,Inclusive Education,15845.92,12.67,11540.67,14.84
2019-20,Kerala,RTE Entitlements,12267.21,9.81,12060.08,15.5
2019-20,Kerala,Access & Retention,13475.47,10.78,4210.42,5.41
2019-20,Kerala,Program Management,4000.5,3.2,3704.42,4.76
2019-20,Kerala,Monitoring of the Scheme,48.47,0.04,116.37,0.15
2019-20,Kerala,Vocational Education,4840.12,3.87,587.25,0.75
2019-20,Kerala,Gender & Equity,1635.99,1.31,1160.82,1.49
2019-20,Kerala,Total of all Major Components,125050.77,100.0,77792.81,100.0
2019-20,Kerala,Teacher Education,9586.0,7.67,3459.23,4.45
2019-20,Kerala,Sports & Physical Education,559.85,0.45,527.4,0.68
2019-20,Kerala,Quality Interventions,50353.24,40.27,33109.14,42.56
2019-20,Kerala,Financial Support for Teachers,12438.0,9.95,7317.0,9.41
2019-20,Lakshadweep,Quality Interventions,383.96,42.68,348.23,48.65
2019-20,Lakshadweep,Inclusive Education,43.63,4.85,37.02,5.17
2019-20,Lakshadweep,Gender & Equity,34.96,3.89,28.28,3.95
2019-20,Lakshadweep,Financial Support for Teachers,117.88,13.1,181.79,25.4
2019-20,Lakshadweep,Teacher Education,50.0,5.56,50.0,6.98
2019-20,Lakshadweep,Total of all Major Components,899.63,100.0,715.82,100.0
2019-20,Lakshadweep,Sports & Physical Education,9.45,1.05,4.95,0.69
2019-20,Lakshadweep,RTE Entitlements,1.94,0.22,1.94,0.27
2019-20,Lakshadweep,Vocational Education,202.8,22.54,23.37,3.26
2019-20,Lakshadweep,Program Management,54.78,6.09,40.0,5.59
2019-20,Lakshadweep,Monitoring of the Scheme,0.23,0.03,0.23,0.03
2019-20,Madhya Pradesh,Inclusive Education,3683.32,0.47,3613.82,0.64
2019-20,Madhya Pradesh,Gender & Equity,31189.92,4.0,28018.24,4.97
2019-20,Madhya Pradesh,Financial Support for Teachers,253983.84,32.55,198336.36,35.19
2019-20,Madhya Pradesh,Sports & Physical Education,9327.65,1.2,9205.9,1.63
2019-20,Madhya Pradesh,Quality Interventions,171364.5,21.96,131509.5,23.33
2019-20,Madhya Pradesh,RTE Entitlements,106319.6,13.63,85914.51,15.24
2019-20,Madhya Pradesh,Access & Retention,159356.98,20.42,60202.95,10.68
2019-20,Madhya Pradesh,Total of all Major Components,780325.8,100.0,563661.96,100.0
2019-20,Madhya Pradesh,Vocational Education,18477.23,2.37,15323.61,2.72
2019-20,Madhya Pradesh,Teacher Education,5809.01,0.74,4189.1,0.74
2019-20,Madhya Pradesh,Program Management,20026.96,2.57,27033.26,4.8
2019-20,Madhya Pradesh,Monitoring of the Scheme,786.77,0.1,314.71,0.06
2019-20,Maharashtra,Teacher Education,6829.92,1.93,4420.62,1.75
2019-20,Maharashtra,Monitoring of the Scheme,451.21,0.13,451.21,0.18
2019-20,Maharashtra,Vocational Education,9696.1,2.75,8290.01,3.27
2019-20,Maharashtra,Inclusive Education,19506.67,5.52,19322.15,7.63
2019-20,Maharashtra,Gender & Equity,5468.34,1.55,5184.03,2.05
2019-20,Maharashtra,Financial Support for Teachers,31218.0,8.84,19384.8,7.66
2019-20,Maharashtra,Sports & Physical Education,4711.6,1.33,4711.15,1.86
2019-20,Maharashtra,Quality Interventions,135315.52,38.31,90472.29,35.74
2019-20,Maharashtra,RTE Entitlements,104814.91,29.68,80194.99,31.68
2019-20,Maharashtra,Program Management,16160.81,4.58,12054.23,4.76
2019-20,Maharashtra,Access & Retention,19022.8,5.39,8653.27,3.42
2019-20,Maharashtra,Total of all Major Components,353195.88,100.0,253138.75,100.0
2019-20,Manipur,Total of all Major Components,105013.19,100.0,48323.3,100.0
2019-20,Manipur,Program Management,3015.91,2.87,2301.11,4.76
2019-20,Manipur,Monitoring of the Scheme,504.65,0.48,212.53,0.44
2019-20,Manipur,Vocational Education,1185.38,1.13,549.78,1.14
2019-20,Manipur,RTE Entitlements,2249.17,2.14,2253.85,4.66
2019-20,Manipur,Gender & Equity,1647.86,1.57,1319.21,2.73
2019-20,Manipur,Access & Retention,49709.23,47.34,18192.35,37.65
2019-20,Manipur,Financial Support for Teachers,10675.92,10.17,9377.34,19.41
2019-20,Manipur,Teacher Education,3354.78,3.19,2407.0,4.98
2019-20,Manipur,Sports & Physical Education,559.56,0.53,256.05,0.53
2019-20,Manipur,Quality Interventions,31746.63,30.23,11099.94,22.97
2019-20,Manipur,Inclusive Education,364.11,0.35,354.13,0.73
2019-20,Meghalaya,Sports & Physical Education,188.0,0.34,188.0,0.4
2019-20,Meghalaya,Program Management,1978.92,3.59,2212.92,4.76
2019-20,Meghalaya,Financial Support for Teachers,31187.65,56.59,27967.8,60.18
2019-20,Meghalaya,Gender & Equity,621.11,1.13,402.75,0.87
2019-20,Meghalaya,Inclusive Education,348.32,0.63,163.04,0.35
2019-20,Meghalaya,Teacher Education,3166.03,5.75,1172.51,2.52
2019-20,Meghalaya,Monitoring of the Scheme,21.14,0.04,19.08,0.04
